MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
11381.737389464502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10820.29861120273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10611.381588241986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10585.260131427225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10936.801735628882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11965.297624541037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13835.469072174219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15129.117430798593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15516.300391780722,0.0,0.0,2.35,0.0,3.1603455552111543,0.0,0.0,0.0,0.0
15218.895159971473,0.0,0.0,46.35,0.0,404.26086893742684,0.0,0.0,0.0,0.0
14256.02722217282,0.0,0.0,244.25,0.0,1313.6503024494366,0.0,0.0,0.0,0.0
15160.948866706089,0.0,0.0,102.25,0.0,583.8738413252609,0.0,0.0,0.0,0.0
14972.68269619054,0.0,0.0,109.75,0.0,664.1992908535442,0.0,0.0,0.0,0.0
15020.812422278244,0.0,0.0,117.2,0.0,547.7932295699335,0.0,0.0,0.0,0.0
15071.491996907289,0.0,0.0,81.35000000000001,0.0,424.0130286574966,0.0,0.0,0.0,0.0
15551.850109304713,0.0,0.0,43.15,0.0,194.6246137750869,0.0,0.0,0.0,0.0
16974.199652540214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17650.153937250714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17475.38313514989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17035.447481314266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16363.517960648916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15225.563560256389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13682.799877987525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12212.380717262324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11205.986436264304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10709.807868799153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10435.61078614116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10382.375339389684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10648.527809101899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11648.90970807735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13513.061306809903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14708.283384877106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14888.860558929706,0.0,0.0,10.35,0.0,2.896983425610225,0.0,0.0,0.0,0.0
14653.266822208592,0.0,0.0,25.75,0.0,287.854807653816,0.0,0.0,0.0,0.0
14353.99581488851,0.0,0.0,68.6,0.0,629.4354897462216,0.0,0.0,0.0,0.0
13949.994716817515,0.0,0.0,117.0,0.0,953.8976334145669,0.0,0.0,0.0,0.0
13522.982995013506,0.0,0.0,161.89999999999998,0.0,1174.5950980201458,0.0,0.0,0.0,0.0
13435.260763723498,0.0,0.0,184.85,0.0,1170.11794181693,0.0,0.0,0.0,0.0
13601.565744050547,0.0,0.0,136.15,0.0,942.8364239713277,0.0,0.0,0.0,0.0
14199.68869810807,0.0,0.0,66.8,0.0,598.095396323711,0.0,0.0,0.0,0.0
16021.053854034715,0.0,0.0,0.0,0.0,3.9504319440139435,0.0,0.0,0.0,0.0
16873.75352308242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16764.262780678844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16380.607186540477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15761.8808817034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14721.34037984546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13266.998062989242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11835.737505146533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10812.253998256949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10303.038284724076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10091.101412862705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10089.101412862705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10432.598404118582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11482.183518922298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13418.64740827531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14550.601808667838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14235.929592243958,0.0,0.0,65.5,0.0,405.84104171503236,0.0,0.0,0.0,0.0
13488.261527480357,0.0,0.0,163.39999999999998,0.0,1073.464040253389,0.0,0.0,0.0,0.0
13211.507279846852,0.0,0.0,236.3,0.0,1281.783484767724,0.0,0.0,0.0,0.0
13083.9194262316,0.0,0.0,248.75,0.0,1322.0778905966663,0.0,0.0,0.0,0.0
13009.823110825897,0.0,0.0,233.0,0.0,1278.886501342114,0.0,0.0,0.0,0.0
13051.359952629075,0.0,0.0,228.85,0.0,1257.8175309740395,0.0,0.0,0.0,0.0
13268.10032279472,0.0,0.0,192.89999999999998,0.0,1066.3532627541636,0.0,0.0,0.0,0.0
13869.20158960375,0.0,0.0,124.95,0.0,737.1506007530018,0.0,0.0,0.0,0.0
15973.585727216081,0.0,0.0,0.55,0.0,37.397422403332,0.0,0.0,0.0,0.0
17030.427632413637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16975.199652540217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16626.670430361133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16082.288647067713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15098.995973983829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13644.633808226983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12178.21464750178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11209.998818286876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10676.66164793924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10451.687630010143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10452.687630010141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10803.209385311171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11904.017564843783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13871.627675056709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14886.066569000512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14351.664783082178,0.0,0.0,105.1,0.0,564.9117679939939,0.0,0.0,0.0,0.0
13623.368969240315,0.0,0.0,206.6,0.0,1132.457157283997,0.0,0.0,0.0,0.0
13051.522826641229,0.0,0.0,268.8,0.0,1548.5693220534658,0.0,0.0,0.0,0.0
12669.926639195937,0.0,0.0,298.70000000000005,0.0,1743.1939358285529,0.0,0.0,0.0,0.0
12540.38158774647,0.0,0.0,286.55,0.0,1667.8723667626866,0.0,0.0,0.0,0.0
12666.695021927819,0.0,0.0,249.75,0.0,1550.6762190902732,0.0,0.0,0.0,0.0
13348.640182051216,0.0,0.0,196.6,0.0,979.1803978562561,0.0,0.0,0.0,0.0
14300.775446078656,0.0,0.0,92.89999999999999,0.0,459.56691615362206,0.0,0.0,0.0,0.0
16098.365490936696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16980.224416585366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16879.778287127574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16557.358139740678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16089.320877990918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15126.117430798593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13676.78749596495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12261.603781991224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11260.221883015778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10691.718642907597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10417.521560249601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10414.521560249601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10672.649265916665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11619.788251262584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13382.481338514766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14667.104933093986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15095.71696887582,0.0,0.0,0.0,0.0,0.26336212960092953,0.0,0.0,0.0,0.0
15135.824933249125,0.0,0.0,22.3,0.0,146.95606831731868,0.0,0.0,0.0,0.0
15281.586692968314,0.0,0.0,29.15,0.0,75.58493119546678,0.0,0.0,0.0,0.0
15124.284835280641,0.0,0.0,29.4,0.0,171.18538424060424,0.0,0.0,0.0,0.0
14940.625301269803,0.0,0.0,15.75,0.0,89.27976193471511,0.0,0.0,0.0,0.0
14122.56136160477,0.0,0.0,14.45,0.0,686.3217097400224,0.0,0.0,0.0,0.0
13434.978396482466,0.0,0.0,82.4,0.0,1008.6769563715603,0.0,0.0,0.0,0.0
13629.099857437404,0.0,0.0,142.5,0.0,683.1613641848113,0.0,0.0,0.0,0.0
15508.77302493696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16275.148675060105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16019.02843627109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15571.053084634215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15037.715914286575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14287.44933895562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13186.641159423009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11916.07455981214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10980.992569434575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10421.533942272175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10113.203020776842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10026.821353165451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10123.235251700045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10477.789237924275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11258.2095009932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12147.100657565072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12859.314735703707,0.0,0.0,48.9,0.0,246.24359117686913,0.0,0.0,0.0,0.0
12892.067031268596,0.0,0.0,139.6,0.0,780.0786278779533,0.0,0.0,0.0,0.0
