CTotal,CFix,CVar,CFuel,CStart,CNetworkExp,CNSE,COpTot,CTotal_1,CFix_1,CVar_1,CFuel_1,CStart_1,CNetworkExp_1,CNSE_1,COpTot_1,CTotal_2,CFix_2,CVar_2,CFuel_2,CStart_2,CNetworkExp_2,CNSE_2,COpTot_2,CTotal_3,CFix_3,CVar_3,CFuel_3,CStart_3,CNetworkExp_3,CNSE_3,COpTot_3,MGAIteration
3.880513130413786e9,1.7785848447276301e9,4.006063024386575e8,1.6554079032735894e9,179922.3710793496,3.557700000000001e7,1.015715760282932e7,2.0663512856861558e9,1.8908631828990164e9,1.0449044676767708e9,1.446596007830565e8,6.94694751043221e8,153419.80412821815,0.0,6.45094359183992e6,8.459587152222456e8,1.9277659154440904e9,7.109003640535803e8,2.559112868631915e8,9.605254396646807e8,0.0,0.0,428824.8626377511,1.21686555139051e9,2.630703207067915e7,2.2780012997279238e7,35414.79240955064,187712.5656875822,26502.566951131448,0.0,3.2773891483516493e6,3.527019073399914e6,0
4.2783463036621904e9,2.1960989776926093e9,3.8164690033485264e8,1.6516832906715114e9,1.7472262442660267e6,3.8522e7,8.647908718950849e6,2.043725325969581e9,2.338354926733324e9,1.135104416536083e9,2.0637050014632046e8,9.892061700132884e8,0.0,0.0,7.673840037632168e6,1.203250510197241e9,1.3796410008302417e9,5.541176842382939e8,1.7350429180828848e8,6.513161490968461e8,0.0,0.0,702875.686813187,8.255233165919477e8,5.2182837609862465e8,5.068768769182326e8,1.772108380243714e6,1.1160971561376803e7,1.7472262442660267e6,0.0,271192.9945054946,1.4951499180392036e7,1
4.2749092950408177e9,2.303829931174314e9,3.6147548831049e8,1.4769542083905497e9,1.682377247557195e6,7.4099e7,5.686828991790758e7,1.8969803638665044e9,2.2035593796491184e9,1.5070350061727178e9,1.1192502270097923e8,5.399974068792049e8,1.682377247557195e6,0.0,4.291956664865957e7,6.965243734764009e8,1.983961759766253e9,7.967949250015961e8,2.4955046560951075e8,9.369568015113447e8,0.0,0.0,659567.643801662,1.1871668347646573e9,1.3289155625446348e7,0.0,0.0,0.0,0.0,0.0,1.3289155625446348e7,1.3289155625446348e7,2
