MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MGAIteration
4.733199665919711e7,7.361057399940011e7,7869.953868789026,445930.12637362635,0.0,0.0,0.0,0.0,0.0,0.0,0
5.189520041292357e7,6.908878331335558e7,0.0,445930.12637362635,0.0,0.0,0.0,0.0,497737.9951805775,0.0,1
6.174680766539927e7,5.323521349274913e7,0.0,445855.27129120874,0.0,5.788925209037079e6,0.0,0.0,0.0,0.0,2
3.919075378779327e7,7.116223490744556e7,94981.2659900546,5.970743888748829e6,0.0,0.0,4.851841201957409e6,475.5663738696153,0.0,7095.130706903317,3
4.4757641273911156e7,7.620480714178056e7,175654.1677253931,445930.12637362635,0.0,0.0,0.0,832482.7748213935,0.001644884688294254,34926.93322524732,4
1.1406910447014633e8,0.0,0.0,445930.12637362635,0.0,0.0,6.452991432436959e6,10144.494072128993,0.0,0.0,5
3.270008541946327e7,7.326757763664618e7,0.0,2.4026931171732508e6,0.0,0.0,1.3002768475116044e7,544937.5543776497,7.680725246887573,7148.957732467662,6
6.6019938503343575e7,4.2279776045597695e7,8107.1302368871075,4.968802639109794e6,7.8324774193661325e6,0.0,0.0,0.0,0.0,0.0,7
1.0228646667609052e8,1.5168335620405624e7,0.0,3.449759842153317e6,0.0,0.0,0.0,0.0,0.0,0.0,8
4.4989104973412454e7,7.614789724191575e7,0.0,445930.12637362635,0.0,0.0,0.0,0.1820003463622896,0.0,841695.8438686209,9
1.2064132310695443e8,0.0,7238.949724869783,445930.12637362635,0.0,0.0,0.0,0.0,12237.383375333216,0.0,10
